Geography,Percent; RACE - One race,Percent; RACE - One race - White,Percent; RACE - One race - Black or African American,Percent; RACE - One race - American Indian and Alaska Native,Percent; RACE - One race - Asian,Percent; RACE - One race - Native Hawaiian and Other Pacific Islander,Percent; RACE - One race - Some other race,Percent; RACE - Two or more races
"Census Tract 5702, Cook County, Illinois",99.7,74.9,1,0.3,3.8,0,19.7,0.3
"Census Tract 5703, Cook County, Illinois",99.1,66.7,0,0,0.6,0,31.7,0.9
"Census Tract 5704, Cook County, Illinois",99.2,67.4,0.8,0,0,0,31,0.8
"Census Tract 5705, Cook County, Illinois",100,55.1,7.4,0,2.3,0,35.2,0
"Census Tract 5801, Cook County, Illinois",100,59.9,0.5,0,20.5,0,19.1,0
"Census Tract 5802, Cook County, Illinois",99.6,45.9,1.7,0.6,9,0,42.4,0.4
"Census Tract 5803, Cook County, Illinois",100,58.4,0,2.8,15.9,0,23,0
"Census Tract 5804, Cook County, Illinois",100,62.1,2.7,0,10.3,0,24.9,0
"Census Tract 5805.01, Cook County, Illinois",98.9,71.2,1.7,0,5.4,0,20.6,1.1
"Census Tract 5805.02, Cook County, Illinois",98.2,69,4.3,0,6.3,0,18.6,1.8
"Census Tract 5806, Cook County, Illinois",99.8,72.9,4.1,0,4.7,0,18.2,0.2
"Census Tract 5807, Cook County, Illinois",99.9,69.4,0.5,0,4.9,0,25.1,0.1
"Census Tract 5808, Cook County, Illinois",100,66.4,1.3,1.8,0,0,30.5,0
"Census Tract 5905, Cook County, Illinois",98.9,57.8,1.3,0.3,20.7,0,18.9,1.1
"Census Tract 5906, Cook County, Illinois",97.3,50.9,0.9,2.8,10.7,0,31.9,2.7
"Census Tract 5907, Cook County, Illinois",98,55.1,6.4,0,10.1,0,26.3,2
"Census Tract 6004, Cook County, Illinois",95.5,31.1,0.4,0.6,58.2,0,5.3,4.5
"Census Tract 6006, Cook County, Illinois",97.7,38.8,0,4.5,43.9,0,10.4,2.3
"Census Tract 6007, Cook County, Illinois",97.8,52,5.4,0.9,25.7,0,13.8,2.2
"Census Tract 6009, Cook County, Illinois",95.6,46.4,12.1,0.5,26,0,10.7,4.4
"Census Tract 6103, Cook County, Illinois",95.1,61.8,4.8,0.4,3.7,0,24.3,4.9
"Census Tract 6104, Cook County, Illinois",98.2,65.3,3.4,4.9,0,0,24.6,1.8
"Census Tract 6108, Cook County, Illinois",98.8,95.3,1.2,0,0,0,2.2,1.2
"Census Tract 6110, Cook County, Illinois",100,21,61.1,0,0,0,17.9,0
"Census Tract 6111, Cook County, Illinois",99.5,59,17.3,0,0,0,23.2,0.5
"Census Tract 6112, Cook County, Illinois",99.4,59.1,21.3,0,0.5,0,18.5,0.6
"Census Tract 6113, Cook County, Illinois",98,55.1,13.4,0,0,0,29.5,2
"Census Tract 6114, Cook County, Illinois",98.3,56.9,4.8,0,0,0,36.6,1.7
"Census Tract 6115, Cook County, Illinois",100,61.8,9.4,0.6,0,0,28.2,0
"Census Tract 6116, Cook County, Illinois",100,11.6,81,0,0,0,7.4,0
"Census Tract 6117, Cook County, Illinois",98.1,20.7,71.4,0,0,0,6,1.9
"Census Tract 6118, Cook County, Illinois",96.5,25.6,56.6,0,0,0.4,13.9,3.5
"Census Tract 6119, Cook County, Illinois",99.2,10.5,87.7,0,0,0,1,0.8
"Census Tract 6120, Cook County, Illinois",99.9,0.4,91.4,0,0,0,8.2,0.1
"Census Tract 6121, Cook County, Illinois",100,8.6,88.9,0,2.5,0,0,0
"Census Tract 6201, Cook County, Illinois",99.7,58.2,4.4,0.3,1.5,0,35.3,0.3
"Census Tract 6202, Cook County, Illinois",99,59.9,0.4,0,3.6,0,35.1,1
"Census Tract 6203, Cook County, Illinois",98.7,65.3,1,0,1.1,0,31.2,1.3
"Census Tract 6204, Cook County, Illinois",99.4,59.9,1.7,0.2,0.8,0,36.8,0.6
"Census Tract 6301, Cook County, Illinois",100,56.6,21.2,0.6,0,0,21.6,0
"Census Tract 6302, Cook County, Illinois",98.6,52.8,0.5,0,5.7,0,39.7,1.4
"Census Tract 6303, Cook County, Illinois",100,69.8,0.3,0.7,1,0,28.2,0
"Census Tract 6304, Cook County, Illinois",99.5,45.4,0,0,0.5,0,53.6,0.5
"Census Tract 6305, Cook County, Illinois",98.6,52.3,1.7,0,1.1,0,43.5,1.4
"Census Tract 6308, Cook County, Illinois",98.1,56.3,4.6,0.8,1.5,0,34.9,1.9
"Census Tract 6309, Cook County, Illinois",99.8,48.8,1.3,0.8,0.4,0,48.4,0.2
"Census Tract 6401, Cook County, Illinois",98.7,73.4,0,0,3.3,0,22.1,1.3
"Census Tract 6403, Cook County, Illinois",96,81.1,0.2,0,0.3,0,14.5,4
"Census Tract 6404, Cook County, Illinois",92.3,70.4,0,0.2,0.8,0,21,7.7
"Census Tract 6405, Cook County, Illinois",97.6,84.9,2.1,0,0.9,0,9.7,2.4
"Census Tract 6406, Cook County, Illinois",98.5,78.6,0,0,3.9,0,15.9,1.5
"Census Tract 6407, Cook County, Illinois",95.4,72.8,0,0.3,1.2,0,21.1,4.6
"Census Tract 6408, Cook County, Illinois",98.7,63.2,5.1,0,0.3,0,30.1,1.3
"Census Tract 6501, Cook County, Illinois",93.5,35.7,2.9,0.2,0.4,0,54.2,6.5
"Census Tract 6502, Cook County, Illinois",95.2,45.6,1.4,1.4,0,0,46.8,4.8
"Census Tract 6503.01, Cook County, Illinois",98.7,51.3,1.1,0.2,0,0,46.2,1.3
"Census Tract 6503.02, Cook County, Illinois",96.4,48.3,2.8,0,0,0,45.3,3.6
"Census Tract 6504, Cook County, Illinois",99.6,30,4.4,1.2,0.4,0,63.6,0.4
"Census Tract 6505, Cook County, Illinois",97.3,48,9.1,2.3,1.4,0,36.5,2.7
"Census Tract 6603.01, Cook County, Illinois",96,12.5,51.5,0,0,0,32.1,4
"Census Tract 6603.02, Cook County, Illinois",97.6,16.7,16.5,0.6,0,0,63.7,2.4
"Census Tract 6604, Cook County, Illinois",100,28,4.3,0.2,0,0,67.4,0
"Census Tract 6605, Cook County, Illinois",97.8,28.2,17.5,0,0,0,52.1,2.2
"Census Tract 6606, Cook County, Illinois",97.7,5.9,65.7,0,0.2,0,25.8,2.3
"Census Tract 6607, Cook County, Illinois",97.8,4.6,90.8,0,1.9,0,0.4,2.2
"Census Tract 6608, Cook County, Illinois",99.5,8.6,53.3,0,0,0,37.6,0.5
"Census Tract 6609, Cook County, Illinois",98.6,4.6,85.5,0,2.5,0,6,1.4
"Census Tract 6610, Cook County, Illinois",99.2,1.7,94,0,3.1,0,0.3,0.8
"Census Tract 6611, Cook County, Illinois",98,25.3,51.8,0.7,0.6,0,19.5,2
"Census Tract 6701, Cook County, Illinois",100,2.8,97.2,0,0,0,0,0
"Census Tract 6702, Cook County, Illinois",100,2.9,91.9,0,0,0,5.1,0
"Census Tract 6703, Cook County, Illinois",97.9,5.6,89.9,0,2.4,0,0,2.1
"Census Tract 6704, Cook County, Illinois",95.1,5.7,84.9,0,0,0,4.5,4.9
"Census Tract 6705, Cook County, Illinois",100,0.8,95,0,0.8,0,3.4,0
"Census Tract 6706, Cook County, Illinois",95.9,0,90.5,0,0,0,5.5,4.1
"Census Tract 6707, Cook County, Illinois",98,2.8,95.3,0,0,0,0,2
"Census Tract 6708, Cook County, Illinois",98,0.1,97.9,0,0,0,0,2
"Census Tract 6709, Cook County, Illinois",99.4,0,98.8,0.6,0,0,0,0.6
"Census Tract 6711, Cook County, Illinois",100,0.2,99.8,0,0,0,0,0
"Census Tract 6712, Cook County, Illinois",96.5,1.4,95.1,0,0,0,0,3.5
"Census Tract 6713, Cook County, Illinois",98.5,0,98.5,0,0,0,0,1.5
"Census Tract 6714, Cook County, Illinois",100,2.1,97.5,0,0,0,0.4,0
"Census Tract 6715, Cook County, Illinois",99.6,3,96.3,0,0,0,0.3,0.4
"Census Tract 6716, Cook County, Illinois",99.5,2.6,91.8,0,0,0,5.1,0.5
"Census Tract 6718, Cook County, Illinois",94.3,0,94.3,0,0,0,0,5.7
"Census Tract 6719, Cook County, Illinois",99.7,0,99.7,0,0,0,0,0.3
"Census Tract 6720, Cook County, Illinois",99.9,0.8,93.5,0,0,0,5.6,0.1
"Census Tract 6805, Cook County, Illinois",100,7.6,88.4,0,0,0,3.9,0
"Census Tract 6806, Cook County, Illinois",94.3,0,94.3,0,0,0,0,5.7
"Census Tract 6809, Cook County, Illinois",99.1,1.3,96.9,0.6,0.4,0,0,0.9
"Census Tract 6810, Cook County, Illinois",100,0.1,97.3,0,0,0,2.6,0
"Census Tract 6811, Cook County, Illinois",100,0.9,99.1,0,0,0,0,0
"Census Tract 6812, Cook County, Illinois",99.6,0.3,95.4,2.1,0,0,1.7,0.4
"Census Tract 6813, Cook County, Illinois",98.4,0,97.2,0.8,0,0.4,0,1.6
"Census Tract 6814, Cook County, Illinois",99.6,0,99.6,0,0,0,0,0.4
"Census Tract 6903, Cook County, Illinois",99.9,7.9,91.6,0.3,0.1,0,0,0.1
"Census Tract 6904, Cook County, Illinois",99.7,0.7,97.8,0.3,0,0,0.8,0.3
"Census Tract 6905, Cook County, Illinois",100,0,99.5,0,0.5,0,0,0
"Census Tract 6909, Cook County, Illinois",100,1.8,96.5,1.1,0,0,0.6,0
"Census Tract 6910, Cook County, Illinois",98.8,1.1,97.7,0,0,0,0,1.2
"Census Tract 6911, Cook County, Illinois",97.4,0.7,96.2,0,0,0,0.4,2.6
"Census Tract 6912, Cook County, Illinois",99.5,0,94.6,4.9,0,0,0,0.5
"Census Tract 6913, Cook County, Illinois",100,0,99.1,0,0,0,0.9,0
"Census Tract 6914, Cook County, Illinois",100,1.5,97,0,0.9,0,0.6,0
"Census Tract 6915, Cook County, Illinois",96.7,1.7,94.9,0,0,0,0,3.3
"Census Tract 7001, Cook County, Illinois",100,14,67.6,0,0,0,18.4,0
"Census Tract 7002, Cook County, Illinois",96.2,35.1,13.5,1.1,0.8,0,45.6,3.8
"Census Tract 7003.01, Cook County, Illinois",98.7,50.5,12.1,0.7,0.7,0,34.7,1.3
"Census Tract 7003.02, Cook County, Illinois",98.1,55.4,21.5,0,0,0,21.2,1.9
"Census Tract 7004.01, Cook County, Illinois",97.3,25.9,56.1,0,0,0,15.3,2.7
"Census Tract 7004.02, Cook County, Illinois",97.7,20.4,64.4,0,0.7,0,12.3,2.3
"Census Tract 7005.01, Cook County, Illinois",99.7,7.5,91.7,0,0.4,0,0.2,0.3
"Census Tract 7005.02, Cook County, Illinois",99.7,3.8,92.9,0,0,0,3,0.3
"Census Tract 7101, Cook County, Illinois",100,5,95,0,0,0,0,0
"Census Tract 7102, Cook County, Illinois",99.1,1.2,97.5,0,0.4,0,0,0.9
"Census Tract 7103, Cook County, Illinois",100,0,100,0,0,0,0,0
"Census Tract 7104, Cook County, Illinois",98.1,0.7,96.9,0.5,0,0,0,1.9
"Census Tract 7105, Cook County, Illinois",96.5,0.3,96.1,0,0,0,0,3.5
"Census Tract 7106, Cook County, Illinois",100,0,100,0,0,0,0,0
"Census Tract 7107, Cook County, Illinois",100,0.5,95.9,0,2.7,0,1,0
"Census Tract 7108, Cook County, Illinois",97.8,0.7,95.9,1.2,0,0,0,2.2
"Census Tract 7109, Cook County, Illinois",99.3,0.4,98.9,0,0,0,0,0.7
"Census Tract 7110, Cook County, Illinois",99.7,0.6,98.9,0,0.2,0,0,0.3
"Census Tract 7111, Cook County, Illinois",100,0,100,0,0,0,0,0
"Census Tract 7112, Cook County, Illinois",100,0.3,99.5,0,0.2,0,0,0
"Census Tract 7113, Cook County, Illinois",95.3,0,93.9,0,0.1,0,1.3,4.7
"Census Tract 7114, Cook County, Illinois",99.5,0.1,99.4,0,0,0,0,0.5
"Census Tract 7115, Cook County, Illinois",98.5,0,98.5,0,0,0,0,1.5
"Census Tract 7201, Cook County, Illinois",97.3,61.3,35.3,0,0.5,0,0.3,2.7
"Census Tract 7202, Cook County, Illinois",95.7,34.7,60,0.1,0.2,0,0.7,4.3
"Census Tract 7203, Cook County, Illinois",99.4,67.3,30.6,0,0,0,1.6,0.6
"Census Tract 7204, Cook County, Illinois",97.8,92.7,3.1,0.7,0,0,1.4,2.2
"Census Tract 7205, Cook County, Illinois",99.7,95.4,2.9,0,0.7,0,0.7,0.3
"Census Tract 7206, Cook County, Illinois",99.7,82.2,16.9,0.6,0,0,0,0.3
"Census Tract 7207, Cook County, Illinois",97.7,34.5,63,0,0,0,0.2,2.3
"Census Tract 7301, Cook County, Illinois",98,0.2,97.8,0,0,0,0,2
"Census Tract 7302.01, Cook County, Illinois",99,1.2,94.8,2.5,0,0,0.5,1
"Census Tract 7302.02, Cook County, Illinois",98.6,4,94.5,0,0,0,0,1.4
"Census Tract 7303, Cook County, Illinois",100,0.4,99.6,0,0,0,0,0
"Census Tract 7304, Cook County, Illinois",98.4,0.3,97,0,0,0,1.2,1.6
"Census Tract 7305, Cook County, Illinois",99.4,3.3,95.9,0,0,0,0.2,0.6
"Census Tract 7306, Cook County, Illinois",97.7,0,97.7,0,0,0,0,2.3
"Census Tract 7307, Cook County, Illinois",100,0.7,99.3,0,0,0,0,0
"Census Tract 7401, Cook County, Illinois",99.2,98.4,0,0.5,0,0,0.2,0.8
"Census Tract 7402, Cook County, Illinois",99.4,94.8,2.8,0.4,1.1,0,0.4,0.6
"Census Tract 7403, Cook County, Illinois",100,98.2,1.8,0,0,0,0,0
"Census Tract 7404, Cook County, Illinois",96.8,79.5,12.1,0,2.1,0,3.1,3.2
"Census Tract 7501, Cook County, Illinois",98.6,4.5,94.1,0,0,0,0,1.4
"Census Tract 7502, Cook County, Illinois",96.2,41.7,53.2,0.3,1,0,0,3.8
"Census Tract 7503, Cook County, Illinois",100,84.8,12.3,0,0,0,2.9,0
"Census Tract 7504, Cook County, Illinois",98.1,71.5,25.9,0,0.5,0,0.2,1.9
"Census Tract 7505, Cook County, Illinois",97.8,26.1,70.5,0.2,0.9,0,0.1,2.2
"Census Tract 7506, Cook County, Illinois",97.9,0.8,96.8,0,0,0,0.2,2.1
"Census Tract 7608.01, Cook County, Illinois",95.3,76,2.5,0.7,13.1,0,2.9,4.7
"Census Tract 7608.02, Cook County, Illinois",98.7,96.3,0,0,0,0,2.4,1.3
"Census Tract 7608.03, Cook County, Illinois",96.4,81.2,0.9,0,10.2,0,4,3.6
"Census Tract 7702.01, Cook County, Illinois",97.9,76.7,1.3,0,7.9,0,12,2.1
"Census Tract 7702.02, Cook County, Illinois",97.3,92.1,1,1.6,0.9,0,1.8,2.7
"Census Tract 7703, Cook County, Illinois",98.3,86.9,2.1,0,5.2,0,4.1,1.7
"Census Tract 7704, Cook County, Illinois",95,74.6,0.6,0.3,7.7,0,11.8,5
"Census Tract 7705, Cook County, Illinois",95.1,36.8,1.9,0,2,0.6,53.8,4.9
"Census Tract 7706.01, Cook County, Illinois",100,83.7,0.7,0,14.8,0,0.9,0
"Census Tract 7706.02, Cook County, Illinois",99.7,65.3,1.3,0,6.4,0,26.8,0.3
"Census Tract 7707, Cook County, Illinois",99.6,87.2,3.8,0,5.8,0,2.8,0.4
"Census Tract 7708, Cook County, Illinois",96.6,77.5,3.3,0,7.5,0,8.3,3.4
"Census Tract 7709.01, Cook County, Illinois",99.3,94.6,0.2,0.3,3.4,0,0.8,0.7
"Census Tract 7709.02, Cook County, Illinois",100,91.1,0.3,0,6.4,0,2.2,0
"Census Tract 8001, Cook County, Illinois",99.3,96.1,0,0.7,2.5,0,0,0.7
"Census Tract 8002, Cook County, Illinois",98.5,92.6,1.5,0,3.8,0,0.5,1.5
"Census Tract 8003, Cook County, Illinois",98.5,93.7,0.8,0,3.7,0,0.3,1.5
"Census Tract 8004, Cook County, Illinois",95.5,88.4,0,1.9,5.3,0,0,4.5
"Census Tract 8005, Cook County, Illinois",98.3,94.5,0,0,3,0,0.7,1.7
"Census Tract 8006, Cook County, Illinois",99,97.1,0.7,0,1.2,0,0,1
"Census Tract 8007, Cook County, Illinois",99.4,88.7,0,0,10.7,0,0,0.6
"Census Tract 8008, Cook County, Illinois",98.1,82.4,0,0,14.1,0,1.5,1.9
"Census Tract 8009, Cook County, Illinois",98.7,69.8,2.1,0,25.8,0,1,1.3
"Census Tract 8010, Cook County, Illinois",97.9,79,1.1,0.9,16.8,0,0.1,2.1
"Census Tract 8011, Cook County, Illinois",98.1,92.1,0.7,0,5.3,0,0,1.9
"Census Tract 8012, Cook County, Illinois",97.8,93.5,0.6,0,3.7,0,0,2.2
"Census Tract 8013, Cook County, Illinois",99.8,90.1,2.2,0,7.1,0,0.3,0.2
"Census Tract 8014, Cook County, Illinois",96.8,80.2,0.4,0,14.8,0,1.4,3.2
"Census Tract 8015, Cook County, Illinois",97.4,87.2,1.9,0,7.9,0,0.4,2.6
"Census Tract 8016.01, Cook County, Illinois",99.8,83.4,2.1,0,13.9,0,0.4,0.2
"Census Tract 8016.03, Cook County, Illinois",99.1,53.8,10.1,0,34.5,0,0.8,0.9
"Census Tract 8016.05, Cook County, Illinois",100,81.2,1.1,0,15.3,0,2.4,0
"Census Tract 8016.06, Cook County, Illinois",97.5,89,0,0,8.5,0,0,2.5
"Census Tract 8016.07, Cook County, Illinois",99.9,72.2,3,0,24.5,0,0.2,0.1
"Census Tract 8016.08, Cook County, Illinois",99,85.4,0.1,0,12.8,0,0.6,1
"Census Tract 8017.01, Cook County, Illinois",97.8,84.7,0,0,12.8,0,0.3,2.2
"Census Tract 8017.02, Cook County, Illinois",97.7,85.3,0,0,11.6,0,0.8,2.3
"Census Tract 8018, Cook County, Illinois",99.2,93,0,0,6.2,0,0,0.8
"Census Tract 8019.01, Cook County, Illinois",98.4,80.7,3.2,0.3,10.9,0,3.3,1.6
"Census Tract 8019.02, Cook County, Illinois",98,92.4,0,0,5.5,0,0,2
"Census Tract 8020.02, Cook County, Illinois",99,84.7,1.3,0,12.3,0,0.7,1
"Census Tract 8020.03, Cook County, Illinois",100,74.9,2.1,0.9,19.2,0,2.9,0
"Census Tract 8020.04, Cook County, Illinois",98.8,71.3,1.7,1.4,23.4,0,0.9,1.2
"Census Tract 8021, Cook County, Illinois",96.4,92.6,1.3,0,2.5,0,0,3.6
"Census Tract 8022, Cook County, Illinois",99.5,94.3,0.8,0,3.9,0,0.6,0.5
"Census Tract 8023, Cook County, Illinois",95.8,77.6,1.1,0,16.9,0,0.2,4.2
"Census Tract 8024.02, Cook County, Illinois",99.5,80,0.6,0,7.5,0,11.5,0.5
"Census Tract 8024.03, Cook County, Illinois",99,87.3,1.3,0,10.4,0,0,1
"Census Tract 8024.04, Cook County, Illinois",99.1,69.6,0.9,0,9.5,0,19.2,0.9
"Census Tract 8025.03, Cook County, Illinois",99.5,73.6,2.6,0.3,17.6,0,5.3,0.5
"Census Tract 8025.04, Cook County, Illinois",98.6,77.6,0.7,0,9.8,0,10.6,1.4
"Census Tract 8025.05, Cook County, Illinois",99.7,52.9,1.8,0.7,13.5,0,30.8,0.3
"Census Tract 8025.06, Cook County, Illinois",97.2,75.7,0,0.7,5,0,15.8,2.8
"Census Tract 8026.05, Cook County, Illinois",99,79.2,4.3,0,15.3,0,0.2,1
"Census Tract 8026.07, Cook County, Illinois",100,89.5,0,0,3.2,0,7.3,0
"Census Tract 8026.08, Cook County, Illinois",100,93.4,0,0,5.6,1,0,0
"Census Tract 8026.09, Cook County, Illinois",99.2,72.5,0.8,0.5,14.1,0.2,11,0.8
"Census Tract 8026.10, Cook County, Illinois",90.7,63,0,0,19.4,0,8.3,9.3
"Census Tract 8027.01, Cook County, Illinois",99,74.4,0.4,0.8,14.3,0,9.1,1
"Census Tract 8027.02, Cook County, Illinois",99.4,74,1.9,0.2,20.7,0,2.7,0.6
"Census Tract 8028.01, Cook County, Illinois",100,87.3,0.4,0.4,10.5,0,1.4,0
"Census Tract 8028.02, Cook County, Illinois",99.2,86.7,0.9,0,9.9,0,1.7,0.8
"Census Tract 8029, Cook County, Illinois",99,95.1,0.3,0,3.6,0,0,1
"Census Tract 8030.05, Cook County, Illinois",98.3,93.8,2.8,0,1.7,0,0,1.7
"Census Tract 8030.07, Cook County, Illinois",98.7,92.5,0,0,4.8,0,1.4,1.3
"Census Tract 8030.08, Cook County, Illinois",98.4,88.1,2.4,0,8,0,0,1.6
"Census Tract 8030.10, Cook County, Illinois",95.3,84.5,0,0.5,7.6,0,2.7,4.7
"Census Tract 8030.12, Cook County, Illinois",99.5,85.5,5.1,0,5.7,0,3.2,0.5
"Census Tract 8030.13, Cook County, Illinois",98.4,87.1,1.3,0.4,5.5,0,4.2,1.6
"Census Tract 8030.14, Cook County, Illinois",99.5,82.9,0,0,10.2,0,6.4,0.5
"Census Tract 8030.15, Cook County, Illinois",96.7,88,0.9,0.2,5.9,0,1.7,3.3
"Census Tract 8030.16, Cook County, Illinois",98.3,69.3,2.4,0,22.2,0,4.3,1.7
"Census Tract 8030.17, Cook County, Illinois",98,84.2,0.2,0,12.3,0,1.3,2
"Census Tract 8031, Cook County, Illinois",98.8,91.7,2.5,0,3.7,0,0.9,1.2
"Census Tract 8032, Cook County, Illinois",97.9,92.2,1,0,3.1,0,1.6,2.1
"Census Tract 8033, Cook County, Illinois",98.3,85.2,0.1,0,10.2,0,2.9,1.7
"Census Tract 8034, Cook County, Illinois",98.4,95.7,0.6,0.4,1.8,0,0,1.6
"Census Tract 8035, Cook County, Illinois",97.5,95.9,0,0,1.6,0,0,2.5
"Census Tract 8036.03, Cook County, Illinois",97.7,82.8,0.8,0,14.1,0,0,2.3
"Census Tract 8036.04, Cook County, Illinois",98.9,84.5,4.5,0,9.7,0,0.1,1.1
"Census Tract 8036.05, Cook County, Illinois",94,76.7,3,0,10.5,0,3.9,6
"Census Tract 8036.06, Cook County, Illinois",97.3,62.3,6.9,0,6.8,0,21.2,2.7
"Census Tract 8036.07, Cook County, Illinois",100,92.3,0.8,0,5.9,0,1,0
"Census Tract 8036.08, Cook County, Illinois",97.3,74,7.7,0,13.9,0,1.7,2.7
"Census Tract 8036.10, Cook County, Illinois",98.4,73.1,4.3,0.5,16.4,0,4.1,1.6
"Census Tract 8036.11, Cook County, Illinois",98.9,57.7,2.9,0,14,0,24.2,1.1
"Census Tract 8036.12, Cook County, Illinois",100,61.6,8.7,0.3,14,0,15.4,0
"Census Tract 8037.01, Cook County, Illinois",98.3,83.5,0.5,0,14.1,0,0.2,1.7
"Census Tract 8037.02, Cook County, Illinois",97.1,82.9,0.3,0,11.7,0,2.1,2.9
"Census Tract 8038, Cook County, Illinois",98.4,89.8,0,0,4.7,0,3.9,1.6
"Census Tract 8039.01, Cook County, Illinois",99.1,85.8,2.7,0,9.6,0,0.9,0.9
"Census Tract 8039.02, Cook County, Illinois",99.7,95.6,3.3,0,0.9,0,0,0.3
"Census Tract 8040, Cook County, Illinois",98.8,86.2,0.9,0,5.3,0,6.4,1.2
"Census Tract 8041.02, Cook County, Illinois",98.7,85.1,0.2,0,12.3,1.1,0,1.3
"Census Tract 8041.04, Cook County, Illinois",98.2,67.5,0.4,0,30.2,0,0,1.8
"Census Tract 8041.05, Cook County, Illinois",97,84,2,0,11,0,0,3
"Census Tract 8041.06, Cook County, Illinois",98.2,75.8,0.9,0,19.7,0,1.7,1.8
"Census Tract 8041.08, Cook County, Illinois",98,48.7,9.7,0,34.7,0,4.8,2
"Census Tract 8041.09, Cook County, Illinois",95,78.1,5.6,0,7.7,0,3.5,5
"Census Tract 8042.01, Cook County, Illinois",97.4,78,0.8,0.2,18.4,0,0,2.6
"Census Tract 8042.02, Cook County, Illinois",98.5,86.2,0,0,11.9,0,0.5,1.5
"Census Tract 8043.05, Cook County, Illinois",96.7,62,3.3,0.8,4,0.1,26.6,3.3
"Census Tract 8043.06, Cook County, Illinois",97.2,67.1,1,0,1.2,0,28,2.8
"Census Tract 8043.08, Cook County, Illinois",98.8,64.9,3,0,24.8,0,6.1,1.2
"Census Tract 8043.09, Cook County, Illinois",99.6,53.4,1.5,0,13.5,0,31.2,0.4
"Census Tract 8043.10, Cook County, Illinois",99.3,62.4,4.1,0,23.8,0,9,0.7
"Census Tract 8043.11, Cook County, Illinois",96.3,57.5,0.4,0,20.9,0,17.5,3.7
"Census Tract 8044.03, Cook County, Illinois",97.9,66.9,5.6,0,14.5,0,10.9,2.1
"Census Tract 8044.04, Cook County, Illinois",98.3,51.4,3.2,0,5.6,0,38.2,1.7
"Census Tract 8044.05, Cook County, Illinois",97.6,30.3,15.4,0,4.1,0,47.8,2.4
"Census Tract 8044.06, Cook County, Illinois",97.9,45,3.5,0.6,16.9,0,31.8,2.1
"Census Tract 8045.05, Cook County, Illinois",97.7,75.8,2.1,0,8.5,0,11.3,2.3
"Census Tract 8045.06, Cook County, Illinois",97.1,72.3,4.4,0,15.6,0,4.8,2.9
