Geography,Percent; RACE - One race,Percent; RACE - One race - White,Percent; RACE - One race - Black or African American,Percent; RACE - One race - American Indian and Alaska Native,Percent; RACE - One race - Asian,Percent; RACE - One race - Native Hawaiian and Other Pacific Islander,Percent; RACE - One race - Some other race,Percent; RACE - Two or more races
"Census Tract 8224, Cook County, Illinois",100,92.6,3.3,0,4.1,0,0,0
"Census Tract 8225, Cook County, Illinois",98.2,87.6,1.9,2.3,1.7,0,4.6,1.8
"Census Tract 8226.01, Cook County, Illinois",97,93.3,1,0.3,0.6,0,1.7,3
"Census Tract 8226.02, Cook County, Illinois",97.8,86,4.5,0,1.2,0,6.2,2.2
"Census Tract 8227.01, Cook County, Illinois",99,85.6,10.8,0,0.9,0,1.6,1
"Census Tract 8227.02, Cook County, Illinois",100,75.3,11.7,2.2,3,0,7.8,0
"Census Tract 8228.01, Cook County, Illinois",99.2,90.7,3.6,0,1,0,4,0.8
"Census Tract 8228.02, Cook County, Illinois",100,93,4.9,0,0.9,0,1.2,0
"Census Tract 8229, Cook County, Illinois",100,94.4,2.3,0,1.9,0,1.4,0
"Census Tract 8230.01, Cook County, Illinois",97.8,74.4,10.8,0,2.8,0,9.8,2.2
"Census Tract 8230.02, Cook County, Illinois",97.4,89,3,0,0.7,0,4.7,2.6
"Census Tract 8231.01, Cook County, Illinois",97.3,88,0.7,0,3.3,0,5.2,2.7
"Census Tract 8231.02, Cook County, Illinois",99.9,99.3,0.3,0.3,0,0,0,0.1
"Census Tract 8232, Cook County, Illinois",98.1,89,4.3,0.5,2.4,0,1.9,1.9
"Census Tract 8233.02, Cook County, Illinois",99.2,59.1,27.4,0,1.7,0,11,0.8
"Census Tract 8233.03, Cook County, Illinois",99.7,80.4,7.5,0,1.2,0,10.6,0.3
"Census Tract 8233.04, Cook County, Illinois",99,73,13.7,0.1,1.8,0,10.4,1
"Census Tract 8234, Cook County, Illinois",97.5,51.6,20.4,0.5,0,0,25.1,2.5
"Census Tract 8235, Cook County, Illinois",96.9,78.1,10.1,0.4,0.1,0,8.2,3.1
"Census Tract 8236.02, Cook County, Illinois",99.4,93.6,2.3,0,2,0,1.5,0.6
"Census Tract 8236.03, Cook County, Illinois",99.3,22,46.7,0,0,0,30.6,0.7
"Census Tract 8236.04, Cook County, Illinois",99.2,92.8,2.7,0,3.7,0,0,0.8
"Census Tract 8236.05, Cook County, Illinois",97.9,92.9,2.2,0,1.8,0,0.9,2.1
"Census Tract 8237.02, Cook County, Illinois",98.8,79.4,11.3,0.2,4.5,0,3.3,1.2
"Census Tract 8237.03, Cook County, Illinois",94.9,82.2,1.1,0,6.9,0,4.7,5.1
"Census Tract 8237.04, Cook County, Illinois",96,88.1,0.5,0,1.6,0,5.7,4
"Census Tract 8237.05, Cook County, Illinois",98.7,88.6,4.1,0,0.9,0,5,1.3
"Census Tract 8238.01, Cook County, Illinois",99.4,89.9,0.1,0,9.3,0,0,0.6
"Census Tract 8238.03, Cook County, Illinois",98.8,90.3,1.5,0,5.9,0,1.2,1.2
"Census Tract 8238.05, Cook County, Illinois",100,96,1.8,0,1,0,1.2,0
"Census Tract 8238.06, Cook County, Illinois",99.9,88.4,8.8,0.7,0,0,2.1,0.1
"Census Tract 8239.01, Cook County, Illinois",98.5,91.5,2.9,0,4.1,0,0,1.5
"Census Tract 8239.03, Cook County, Illinois",99.9,96,2.3,0,1.1,0,0.5,0.1
"Census Tract 8239.04, Cook County, Illinois",98.9,96.1,0.4,0,2.4,0,0,1.1
"Census Tract 8240.03, Cook County, Illinois",98.9,97.9,0.3,0,0.2,0,0.5,1.1
"Census Tract 8240.04, Cook County, Illinois",99.2,92.9,3.1,0,1.6,0,1.6,0.8
"Census Tract 8240.05, Cook County, Illinois",97.7,88.4,0.8,0,0.7,0,7.8,2.3
"Census Tract 8240.06, Cook County, Illinois",98,97.6,0,0,0.4,0,0,2
"Census Tract 8241.05, Cook County, Illinois",98.7,88.4,2.1,0,8.2,0,0,1.3
"Census Tract 8241.06, Cook County, Illinois",95.2,85.8,2.6,0.3,4.8,0,1.8,4.8
"Census Tract 8241.07, Cook County, Illinois",99.2,86.3,7.1,0,4.5,0,1.3,0.8
"Census Tract 8241.08, Cook County, Illinois",96.3,79.3,4.6,1,6.8,0,4.5,3.7
"Census Tract 8241.13, Cook County, Illinois",97.7,90.3,0.4,0,3.6,0,3.4,2.3
"Census Tract 8241.14, Cook County, Illinois",100,91.5,2.3,0,6.2,0,0,0
"Census Tract 8241.15, Cook County, Illinois",99.6,90,2.1,0,4.5,0,3,0.4
"Census Tract 8241.16, Cook County, Illinois",96.1,92.7,0.3,0.4,2.8,0,0,3.9
"Census Tract 8241.17, Cook County, Illinois",99.5,88.2,1.2,0,8.1,0,2,0.5
"Census Tract 8241.19, Cook County, Illinois",99.4,91,1.9,0,5.4,0,1.1,0.6
"Census Tract 8241.20, Cook County, Illinois",99.1,91.6,2.9,0,4.6,0,0,0.9
"Census Tract 8241.21, Cook County, Illinois",97,94.6,0.6,0,1.5,0,0.3,3
"Census Tract 8241.22, Cook County, Illinois",99,88.3,2.9,0,3.5,0.9,3.3,1
"Census Tract 8241.23, Cook County, Illinois",99.3,88.3,4.1,0,4.8,0,2.1,0.7
"Census Tract 8243, Cook County, Illinois",100,7.3,90.1,0.4,0.2,0,2,0
"Census Tract 8244, Cook County, Illinois",99.1,50.2,44.5,0,0,0,4.4,0.9
"Census Tract 8245.03, Cook County, Illinois",98.8,93,2.7,0,1.8,0,1.3,1.2
"Census Tract 8245.05, Cook County, Illinois",98.6,86.1,4,0.2,1.3,0,7.1,1.4
"Census Tract 8245.06, Cook County, Illinois",97.8,91.3,0.8,0.6,4.6,0,0.5,2.2
"Census Tract 8245.07, Cook County, Illinois",93.7,82.7,3,0.4,1.6,0,6,6.3
"Census Tract 8246.01, Cook County, Illinois",98.5,92.1,4,0,0.6,0,1.8,1.5
"Census Tract 8246.02, Cook County, Illinois",99.1,88.7,4.5,0.4,0.5,0,5.1,0.9
"Census Tract 8247.01, Cook County, Illinois",97.6,72.4,9.8,0,3.1,0,12.4,2.4
"Census Tract 8247.02, Cook County, Illinois",93.4,75.1,10,1.2,2.4,0,4.7,6.6
"Census Tract 8248, Cook County, Illinois",99.6,52.2,28.6,0.7,0,0,18.1,0.4
"Census Tract 8249, Cook County, Illinois",98.9,28.8,65,0,0,0,5.1,1.1
"Census Tract 8250, Cook County, Illinois",95,82.7,7,0.9,4.3,0,0.1,5
"Census Tract 8252, Cook County, Illinois",97.8,78.7,7.1,2.2,3.7,0,6.1,2.2
"Census Tract 8253.02, Cook County, Illinois",98.8,88.2,0.6,0,1.9,0,8.1,1.2
"Census Tract 8253.03, Cook County, Illinois",98.9,83.4,2,0,0.8,0,12.7,1.1
"Census Tract 8253.04, Cook County, Illinois",97.1,89.7,4.8,0,1.6,0,1.1,2.9
"Census Tract 8254, Cook County, Illinois",99.5,88.4,2.8,0.3,3.8,0,4.3,0.5
"Census Tract 8255.01, Cook County, Illinois",97.9,16,80.7,0.3,0.1,0,0.6,2.1
"Census Tract 8255.03, Cook County, Illinois",98.6,12.4,76.7,0,1.5,0,8,1.4
"Census Tract 8255.04, Cook County, Illinois",99.5,6.9,92.1,0,0.3,0,0.2,0.5
"Census Tract 8255.05, Cook County, Illinois",99.5,12.8,86.7,0,0,0,0,0.5
"Census Tract 8256, Cook County, Illinois",99.1,17.8,77.8,0,0.5,0,3,0.9
"Census Tract 8257, Cook County, Illinois",99.8,29,63.6,0,2.2,0,5,0.2
"Census Tract 8258.01, Cook County, Illinois",98.5,6.7,89,1.6,0,0,1.2,1.5
"Census Tract 8258.02, Cook County, Illinois",100,15.8,79.5,0,1.5,0,3.2,0
"Census Tract 8258.03, Cook County, Illinois",99.6,15.5,75.8,0,0.3,0,8.1,0.4
"Census Tract 8259, Cook County, Illinois",99.4,32.2,56.4,0,0.1,0,10.6,0.6
"Census Tract 8260, Cook County, Illinois",99.8,32.7,57.8,0,0,0,9.3,0.2
"Census Tract 8261, Cook County, Illinois",98.2,35.8,56,0.3,0,0,6.1,1.8
"Census Tract 8262.01, Cook County, Illinois",99.1,12.3,86.8,0,0,0,0,0.9
"Census Tract 8262.02, Cook County, Illinois",95.2,30.8,62.1,0,0.2,0,2.2,4.8
"Census Tract 8263.01, Cook County, Illinois",97.7,12.4,83.7,0,0.3,0,1.3,2.3
"Census Tract 8263.03, Cook County, Illinois",99.1,5.3,93.4,0,0.4,0,0,0.9
"Census Tract 8263.04, Cook County, Illinois",100,4,90.6,0,0,0,5.4,0
"Census Tract 8264.01, Cook County, Illinois",98.2,5.9,90.1,0,0.3,0,2,1.8
"Census Tract 8264.02, Cook County, Illinois",97.9,9.6,86.6,0.2,0,0,1.6,2.1
"Census Tract 8265, Cook County, Illinois",97.7,4.3,93.2,0,0.2,0,0,2.3
"Census Tract 8266, Cook County, Illinois",97,5.4,91.6,0,0,0,0,3
"Census Tract 8267, Cook County, Illinois",97.9,3.1,94.8,0,0,0,0,2.1
"Census Tract 8268, Cook County, Illinois",97.5,33.9,40,0.6,0,0,23.1,2.5
"Census Tract 8269.01, Cook County, Illinois",100,2.2,93.5,0.7,0,0,3.7,0
"Census Tract 8269.02, Cook County, Illinois",100,0.1,99.2,0,0.5,0,0.2,0
"Census Tract 8270, Cook County, Illinois",100,1.8,96,0,0.2,0,1.9,0
"Census Tract 8271, Cook County, Illinois",94.2,2.5,80.6,0,3.4,0,7.7,5.8
"Census Tract 8272, Cook County, Illinois",98.2,26.4,67,0,0.1,0,4.7,1.8
"Census Tract 8273, Cook County, Illinois",99.2,9.7,85.3,0.3,0,0,4,0.8
"Census Tract 8274, Cook County, Illinois",100,3.9,87.7,0,0,0,8.3,0
"Census Tract 8275, Cook County, Illinois",99.8,23.9,57.9,0,0,0,18,0.2
"Census Tract 8276, Cook County, Illinois",99.6,2.1,97.4,0,0,0,0,0.4
"Census Tract 8277, Cook County, Illinois",98.7,19.5,73.6,0,0.4,0,5.2,1.3
"Census Tract 8278.01, Cook County, Illinois",98.8,37.4,60.3,0,0.7,0.1,0.2,1.2
"Census Tract 8278.02, Cook County, Illinois",98.9,14.6,83.1,0,0.2,0,1,1.1
"Census Tract 8278.04, Cook County, Illinois",100,15.7,83.4,0,0.9,0,0,0
"Census Tract 8278.05, Cook County, Illinois",100,16.7,82.4,0,0,0,0.9,0
"Census Tract 8279.01, Cook County, Illinois",99.7,13,85.5,0,1.2,0,0,0.3
"Census Tract 8279.02, Cook County, Illinois",99.2,51.4,41.8,0,0.9,0,5.1,0.8
"Census Tract 8280, Cook County, Illinois",98,59.1,28.9,0,0.2,0,9.8,2
"Census Tract 8281, Cook County, Illinois",97.4,79.9,14.8,0,1.5,0,1.2,2.6
"Census Tract 8282.01, Cook County, Illinois",98.9,49.1,46.3,0.2,1.1,0,2.2,1.1
"Census Tract 8282.02, Cook County, Illinois",97.8,56.3,37.1,0,0.3,0,4.1,2.2
"Census Tract 8283, Cook County, Illinois",98.4,69.3,22.2,0.2,0.3,0,6.4,1.6
"Census Tract 8284.01, Cook County, Illinois",97.3,71.5,22.9,0,0.9,0,2,2.7
"Census Tract 8284.02, Cook County, Illinois",98.9,47.6,40.8,0.8,0.1,0,9.6,1.1
"Census Tract 8285.03, Cook County, Illinois",98.5,32,65.5,0,0,0,1,1.5
"Census Tract 8285.04, Cook County, Illinois",96,25.9,62.2,0,0.1,0,7.8,4
"Census Tract 8285.05, Cook County, Illinois",95.1,52.9,37,0,1.6,0,3.5,4.9
"Census Tract 8285.06, Cook County, Illinois",99.1,36.1,60.6,0,0.7,0,1.8,0.9
"Census Tract 8286.01, Cook County, Illinois",98.8,79.2,14.4,0,0.3,0,4.8,1.2
"Census Tract 8286.02, Cook County, Illinois",94.4,43.4,45.3,0,2,0,3.7,5.6
"Census Tract 8287.01, Cook County, Illinois",97.6,41.9,53.9,1.1,0,0,0.6,2.4
"Census Tract 8287.02, Cook County, Illinois",98.4,20.8,77.2,0,0,0,0.4,1.6
"Census Tract 8288.01, Cook County, Illinois",93.1,54.2,34.5,0,1.4,0,3,6.9
"Census Tract 8288.02, Cook County, Illinois",93.1,68.5,22,0,0,0,2.6,6.9
"Census Tract 8289, Cook County, Illinois",97.2,27.5,41,0.6,0,0,28.1,2.8
"Census Tract 8290, Cook County, Illinois",99.2,0.5,98.1,0.5,0,0,0.1,0.8
"Census Tract 8291, Cook County, Illinois",99,47.8,16.2,2,0,0,32.9,1
"Census Tract 8292, Cook County, Illinois",91.3,49.1,26.5,0,0,0,15.7,8.7
"Census Tract 8293.01, Cook County, Illinois",99.1,54.1,34.5,1.2,0.3,0,9,0.9
"Census Tract 8293.02, Cook County, Illinois",98.7,20.4,67.4,0,0,0,10.9,1.3
"Census Tract 8294.01, Cook County, Illinois",96.5,1.5,91.5,0,0,0,3.5,3.5
"Census Tract 8294.02, Cook County, Illinois",98.5,34,59.5,0,4.8,0,0.2,1.5
"Census Tract 8295, Cook County, Illinois",96.7,55.4,17.4,0.6,0,0,23.3,3.3
"Census Tract 8296, Cook County, Illinois",94.1,80.9,4.1,1.5,1.6,0,6,5.9
"Census Tract 8297, Cook County, Illinois",96.9,23.2,72.5,0,0,0,1.2,3.1
"Census Tract 8298, Cook County, Illinois",94.6,43.7,46,0.1,3.7,0,1.2,5.4
"Census Tract 8299.01, Cook County, Illinois",97.7,30.1,62.8,0.9,2.1,0,1.8,2.3
"Census Tract 8299.02, Cook County, Illinois",99.6,18.4,80.3,0,0.8,0,0,0.4
"Census Tract 8300.01, Cook County, Illinois",100,91.4,6.7,0,1.9,0,0,0
"Census Tract 8300.03, Cook County, Illinois",99.1,6.1,88.8,0,0,0,4.1,0.9
"Census Tract 8300.04, Cook County, Illinois",99.6,12.3,86,0.2,1.1,0,0,0.4
"Census Tract 8300.05, Cook County, Illinois",99.1,28.7,66.7,0,2.9,0,0.9,0.9
"Census Tract 8300.06, Cook County, Illinois",95.4,37.2,56.3,0,0,0,1.9,4.6
"Census Tract 8300.07, Cook County, Illinois",99.3,24.4,70.9,0.2,2.5,0,1.2,0.7
"Census Tract 8300.08, Cook County, Illinois",97.5,11.4,85.9,0,0,0,0.2,2.5
"Census Tract 8301, Cook County, Illinois",94.9,18.9,66.9,0,2.8,0,6.3,5.1
"Census Tract 8302.01, Cook County, Illinois",97.3,17.2,77.9,0.2,2.1,0,0,2.7
"Census Tract 8302.02, Cook County, Illinois",96.4,32.2,63.5,0,0.8,0,0,3.6
"Census Tract 8303, Cook County, Illinois",98.8,26.3,71.7,0,0,0,0.8,1.2
"Census Tract 8304, Cook County, Illinois",94.1,34.7,58.3,0,0,0,1.1,5.9
"Census Tract 8305, Cook County, Illinois",99.6,76.5,0.8,1.7,0,0,20.7,0.4
"Census Tract 8306, Cook County, Illinois",95.5,58.1,16.3,1.7,4.8,0,14.6,4.5
"Census Tract 8307, Cook County, Illinois",93.3,54,32,0.1,1.6,0.8,4.9,6.7
"Census Tract 8308, Cook County, Illinois",95.4,72.8,7.5,0,11.7,0,3.4,4.6
"Census Tract 8309, Cook County, Illinois",94.1,84.1,1.6,0,1.5,0,6.9,5.9
"Census Tract 8310, Cook County, Illinois",97.7,79.1,3.9,0,11.5,0,3.1,2.3
"Census Tract 8311, Cook County, Illinois",95.7,74,3.5,0.5,3.6,0,14.1,4.3
"Census Tract 8312, Cook County, Illinois",96.8,44,4.5,0,0,0,48.3,3.2
"Census Tract 8313, Cook County, Illinois",89.3,15.6,33.2,0,0,0,40.6,10.7
"Census Tract 8314, Cook County, Illinois",99.3,15.5,78.9,0,2,0,2.8,0.7
"Census Tract 8315, Cook County, Illinois",92.5,60,5.1,0,2.8,0,24.6,7.5
"Census Tract 8316, Cook County, Illinois",98.4,60,7.3,0.1,6.3,0,24.7,1.6
"Census Tract 8317, Cook County, Illinois",93.7,57.7,4.5,0.9,3.7,0,26.9,6.3
"Census Tract 8318, Cook County, Illinois",95.5,47.9,5.7,0.1,28.9,0,13,4.5
"Census Tract 8319, Cook County, Illinois",98.8,89,0,0,9.7,0,0,1.2
"Census Tract 8320, Cook County, Illinois",97.7,85.1,4,0,4.9,0,3.7,2.3
"Census Tract 8321, Cook County, Illinois",96.3,67.3,21.5,0,5.1,0,2.4,3.7
"Census Tract 8322, Cook County, Illinois",97.9,88.4,2.7,0,5.3,0,1.6,2.1
"Census Tract 8323, Cook County, Illinois",96.2,86.7,2.8,0,4.1,0,2.5,3.8
"Census Tract 8324, Cook County, Illinois",98.6,84.7,2.3,0.2,5.6,0,5.9,1.4
"Census Tract 8325, Cook County, Illinois",97.6,84.6,7.7,0.6,2.1,0,2.7,2.4
"Census Tract 8326, Cook County, Illinois",99.3,93,2.4,1.5,2.2,0,0.3,0.7
"Census Tract 8329, Cook County, Illinois",95,64.7,2.9,0,25.8,0,1.7,5
"Census Tract 8330, Cook County, Illinois",97.8,77.2,13.3,0,7.1,0,0.2,2.2
"Census Tract 8331, Cook County, Illinois",98.3,70.8,13.1,0,13.4,0,1,1.7
"Census Tract 8333, Cook County, Illinois",97.7,65.2,7.2,0,23.1,0,2.2,2.3
"Census Tract 8339, Cook County, Illinois",100,39.3,44.3,0,0,0,16.3,0
"Census Tract 8340, Cook County, Illinois",96.3,2.3,94,0,0,0,0,3.7
"Census Tract 8342, Cook County, Illinois",99.7,0.8,98.8,0,0,0,0,0.3
"Census Tract 8343, Cook County, Illinois",99.5,0.7,98.1,0,0.7,0,0,0.5
"Census Tract 8344, Cook County, Illinois",97,3.2,93.2,0.2,0.5,0,0,3
"Census Tract 8345, Cook County, Illinois",94.1,2.5,91.4,0,0,0,0.2,5.9
"Census Tract 8346, Cook County, Illinois",99.7,2.1,97.3,0,0.3,0,0,0.3
"Census Tract 8347, Cook County, Illinois",96.6,1.5,94.9,0,0,0,0.2,3.4
"Census Tract 8348, Cook County, Illinois",99.8,0.3,99,0,0.5,0,0,0.2
"Census Tract 8349, Cook County, Illinois",98.2,1.2,96.7,0,0,0.3,0,1.8
"Census Tract 8350, Cook County, Illinois",98.9,15.1,59.3,0,1,0,23.5,1.1
"Census Tract 8351, Cook County, Illinois",96.3,47.8,16.2,0,0.2,0,32.1,3.7
"Census Tract 8352, Cook County, Illinois",99.7,66,0.3,0.3,4,0,29.1,0.3
"Census Tract 8355, Cook County, Illinois",98.5,5.6,84.5,0,0,0,8.4,1.5
"Census Tract 8356, Cook County, Illinois",100,1.9,98.1,0,0,0,0,0
"Census Tract 8357, Cook County, Illinois",91.3,0,91.3,0,0,0,0,8.7
"Census Tract 8358, Cook County, Illinois",99.3,1.7,96.2,0,1.3,0,0,0.7
"Census Tract 8359, Cook County, Illinois",98.6,2.4,90.2,0,0,0,6,1.4
"Census Tract 8360, Cook County, Illinois",97,1.5,92.6,0,0.6,0.5,1.8,3
"Census Tract 8361, Cook County, Illinois",100,0.8,99.2,0,0,0,0,0
"Census Tract 8362, Cook County, Illinois",98.1,72.3,6.2,0.3,18.3,0,0.9,1.9
"Census Tract 8363, Cook County, Illinois",96.5,24.5,68.1,0,3.9,0,0,3.5
"Census Tract 8364, Cook County, Illinois",99.6,4.3,92.5,0,1.8,0,1,0.4
"Census Tract 8365, Cook County, Illinois",100,4.4,95.6,0,0,0,0,0
"Census Tract 8366, Cook County, Illinois",97.5,30.4,34.3,0,0,0,32.9,2.5
"Census Tract 8367, Cook County, Illinois",100,10.1,78.4,0,0,0,11.5,0
"Census Tract 8368, Cook County, Illinois",98.9,4,93.9,0,0.4,0,0.7,1.1
"Census Tract 8369, Cook County, Illinois",100,2.6,94.4,0,0.7,0,2.3,0
"Census Tract 8370, Cook County, Illinois",99.8,6.1,91.7,0,0,0,1.9,0.2
"Census Tract 8371, Cook County, Illinois",96.6,11.8,82.2,0,0.5,0,2.2,3.4
"Census Tract 8373, Cook County, Illinois",99.3,5.1,91.7,0,1.7,0,0.8,0.7
"Census Tract 8374, Cook County, Illinois",100,5.8,93.5,0,0.7,0,0,0
"Census Tract 8378, Cook County, Illinois",96.9,12.5,75.8,0,3.4,0,5.2,3.1
"Census Tract 8380, Cook County, Illinois",97.2,17,67,0.9,4.7,0,7.7,2.8
"Census Tract 8381, Cook County, Illinois",95.2,29.1,46.1,3.1,15.5,0,1.4,4.8
"Census Tract 8382, Cook County, Illinois",97.2,48.6,18.2,0,28,0,2.3,2.8
"Census Tract 8383, Cook County, Illinois",99.8,40.3,52.7,0,3.3,0,3.5,0.2
"Census Tract 8386, Cook County, Illinois",100,3.7,96.1,0,0,0,0.2,0
"Census Tract 8387, Cook County, Illinois",100,5.4,91.6,0,0,0,3,0
"Census Tract 8388, Cook County, Illinois",100,35.2,57,0.6,0,0,7.1,0
"Census Tract 8390, Cook County, Illinois",95.6,62.7,12.5,0.1,18.2,0,2.1,4.4
"Census Tract 8391, Cook County, Illinois",97.3,59.8,15.5,0,19,0,2.9,2.7
"Census Tract 8392, Cook County, Illinois",98.2,10.1,77.5,0,9.9,0,0.7,1.8
"Census Tract 8395, Cook County, Illinois",98.9,19.6,73.8,0.5,2.7,0,2.2,1.1
"Census Tract 8396, Cook County, Illinois",99.5,10.5,87.9,0,1.1,0,0,0.5
"Census Tract 8397, Cook County, Illinois",98.1,46.6,2.2,0.2,19.1,0,30,1.9
"Census Tract 8398, Cook County, Illinois",98.3,56.1,0.2,0.6,24.1,0,17.3,1.7
"Census Tract 8399, Cook County, Illinois",96.8,73.3,1.2,0.5,13.9,0.2,7.6,3.2
"Census Tract 8400, Cook County, Illinois",96.8,50.7,1.6,0,32.1,0,12.4,3.2
"Census Tract 8401, Cook County, Illinois",100,29.1,0,0,57.2,0,13.7,0
"Census Tract 8402, Cook County, Illinois",99.1,33.6,0.9,0,56.7,0,7.9,0.9
"Census Tract 8403, Cook County, Illinois",96.3,47,2.7,3.7,20,0,23,3.7
"Census Tract 8404, Cook County, Illinois",98.6,40.6,3.4,1.8,27.9,0,24.9,1.4
"Census Tract 8407, Cook County, Illinois",98.1,75.2,2.9,0.5,0.3,0,19.2,1.9
"Census Tract 8408, Cook County, Illinois",98.1,72.9,0.2,1.2,0.7,0,23,1.9
"Census Tract 8410, Cook County, Illinois",97.1,15.5,55.6,0,26,0,0,2.9
"Census Tract 8411, Cook County, Illinois",97.1,6,3.1,0,87.7,0.3,0,2.9
"Census Tract 8412, Cook County, Illinois",98.9,50.4,5.4,0,0.5,0,42.6,1.1
"Census Tract 8413, Cook County, Illinois",94.7,46.4,1.9,0,0.2,0,46.2,5.3
"Census Tract 8414, Cook County, Illinois",96.7,6.9,86.3,0,0.5,0,3,3.3
"Census Tract 8415, Cook County, Illinois",98.8,1.8,93.8,0,0,0,3.2,1.2
"Census Tract 8416, Cook County, Illinois",100,1.6,98.4,0,0,0,0,0
"Census Tract 8417, Cook County, Illinois",98.9,25.1,65,0,0,0,8.8,1.1
"Census Tract 8418, Cook County, Illinois",97,0.9,95.6,0,0,0,0.5,3
"Census Tract 8419, Cook County, Illinois",94.1,57.8,15.5,0.6,16.8,0,3.4,5.9
"Census Tract 8420, Cook County, Illinois",97.4,42.4,36.7,0,16.9,0,1.5,2.6
"Census Tract 8421, Cook County, Illinois",99.9,14.4,62.8,0.8,0,0,21.9,0.1
"Census Tract 8422, Cook County, Illinois",96.7,56.3,27.8,0,9.5,0,3.1,3.3
"Census Tract 8423, Cook County, Illinois",97.2,74.7,15.3,0,5.8,0,1.4,2.8
"Census Tract 8424, Cook County, Illinois",100,0,100,0,0,0,0,0
"Census Tract 8425, Cook County, Illinois",100,0.1,99.8,0,0,0,0.1,0
"Census Tract 8426, Cook County, Illinois",97.5,79.1,0.7,0,9.6,0,8,2.5
"Census Tract 8428, Cook County, Illinois",98.5,52.7,0.1,0,3.9,0,41.8,1.5
"Census Tract 8429, Cook County, Illinois",98.8,10.2,72.2,0.4,2.5,0,13.4,1.2
"Census Tract 8430, Cook County, Illinois",100,0.3,98.7,0.8,0,0,0.2,0
"Census Tract 8431, Cook County, Illinois",97.4,4.8,88.8,0,1.5,0,2.3,2.6
"Census Tract 8432, Cook County, Illinois",97.6,44.7,0.8,0.2,0.4,0,51.5,2.4
"Census Tract 8433, Cook County, Illinois",99.6,26.7,57.7,0,0.9,0,14.3,0.4
"Census Tract 8434, Cook County, Illinois",94.2,3,80.5,0,1.6,0,9.1,5.8
"Census Tract 8435, Cook County, Illinois",100,30.3,65.3,0.1,0.3,0,4.1,0
"Census Tract 8436, Cook County, Illinois",99,2.4,95,0,1,0,0.6,1
"Census Tract 8437, Cook County, Illinois",98.6,91.5,0.7,0.6,3.1,0,2.7,1.4
"Census Tract 8438, Cook County, Illinois",99.6,34.3,55.3,0,5.5,0,4.5,0.4
"Census Tract 8439, Cook County, Illinois",99.7,2.9,92.7,0,2.7,0,1.3,0.3
"Census Tract 9800, Cook County, Illinois",,,,,,,,
"Census Tract 9801, Cook County, Illinois",,,,,,,,
"Census Tract 9900, Cook County, Illinois",,,,,,,,